;Codigo;Descripcion_aperturas;Clasificador;Periodo;Indice_IPC;v_m_IPC;v_i_a_IPC;Region
3866;11;Restaurantes y hoteles;Nivel general y divisiones COICOP;201802;128,916;1,8;22,6;GBA
3886;11.1;Restaurantes y comidas fuera del hogar;Grupos;201802;127,8694;2,2;22,7;GBA
3894;01.1.8;Azúcar, dulces, chocolate, golosinas, etc.;Clase;201802;125,8877;2,5;22,2;GBA
3895;01.2.1;Café, té, yerba y cacao;Clase;201802;129,2817;2,4;24,6;GBA
3896;01.2.2;Aguas minerales, bebidas gaseosas y jugos;Clase;201802;129,6878;1,8;27,5;GBA
3955;11;Restaurantes y hoteles;Nivel general y divisiones COICOP;201803;130,4066;1,4;23,5;Pampeana
3956;11;Restaurantes y hoteles;Nivel general y divisiones COICOP;201803;127,4808;2,3;15,4;Noreste
3957;11;Restaurantes y hoteles;Nivel general y divisiones COICOP;201803;128,4243;2,6;22,3;Noroeste
3958;11;Restaurantes y hoteles;Nivel general y divisiones COICOP;201803;133,8828;3;28,7;Cuyo
3959;11;Restaurantes y hoteles;Nivel general y divisiones COICOP;201803;133,493;4,1;26,6;Patagonia
4045;11.1;Restaurantes y comidas fuera del hogar;Grupos;201803;130,2491;1,9;23,3;Pampeana
4046;11.1;Restaurantes y comidas fuera del hogar;Grupos;201803;127,3011;2,6;15,1;Noreste
4047;11.1;Restaurantes y comidas fuera del hogar;Grupos;201803;128,2836;2,9;22,1;Noroeste
4048;11.1;Restaurantes y comidas fuera del hogar;Grupos;201803;133,821;3,7;28,7;Cuyo
4049;11.1;Restaurantes y comidas fuera del hogar;Grupos;201803;133,4378;4,7;26,5;Patagonia
4085;01.1.8;Azúcar, dulces, chocolate, golosinas, etc.;Clase;201803;132,6517;1,8;26,5;Pampeana
4086;01.1.8;Azúcar, dulces, chocolate, golosinas, etc.;Clase;201803;133,8873;2,6;22,3;Noreste
4087;01.1.8;Azúcar, dulces, chocolate, golosinas, etc.;Clase;201803;135,1951;3;22,5;Noroeste
4088;01.1.8;Azúcar, dulces, chocolate, golosinas, etc.;Clase;201803;132,7791;0,6;24,5;Cuyo
4089;01.1.8;Azúcar, dulces, chocolate, golosinas, etc.;Clase;201803;130,5203;3,5;23,6;Patagonia
4090;01.2.1;Café, té, yerba y cacao;Clase;201803;128,6728;1,4;21,7;Pampeana
4091;01.2.1;Café, té, yerba y cacao;Clase;201803;127,7614;1,7;21,6;Noreste
4092;01.2.1;Café, té, yerba y cacao;Clase;201803;126,0347;2,2;21,5;Noroeste
4093;01.2.1;Café, té, yerba y cacao;Clase;201803;129,1497;2,7;23,1;Cuyo
4094;01.2.1;Café, té, yerba y cacao;Clase;201803;126,2775;1,1;18,2;Patagonia
4095;01.2.2;Aguas minerales, bebidas gaseosas y jugos;Clase;201803;127,5892;2;20,8;Pampeana
4096;01.2.2;Aguas minerales, bebidas gaseosas y jugos;Clase;201803;137,1706;3,1;30,9;Noreste
4097;01.2.2;Aguas minerales, bebidas gaseosas y jugos;Clase;201803;132,8652;3,6;25,1;Noroeste
4098;01.2.2;Aguas minerales, bebidas gaseosas y jugos;Clase;201803;130,7234;2,4;19,7;Cuyo
4099;01.2.2;Aguas minerales, bebidas gaseosas y jugos;Clase;201803;132,8048;2,7;24,6;Patagonia
4126;11;Restaurantes y hoteles;Nivel general y divisiones COICOP;201803;130,7344;1,4;23,1;GBA
4146;11.1;Restaurantes y comidas fuera del hogar;Grupos;201803;130,5076;2,1;22,8;GBA
4154;01.1.8;Azúcar, dulces, chocolate, golosinas, etc.;Clase;201803;128,8346;2,3;23,2;GBA
4155;01.2.1;Café, té, yerba y cacao;Clase;201803;131,1891;1,5;24,1;GBA
4156;01.2.2;Aguas minerales, bebidas gaseosas y jugos;Clase;201803;131,8014;1,6;26,5;GBA
4215;11;Restaurantes y hoteles;Nivel general y divisiones COICOP;201804;134,0968;2,8;24,7;Pampeana
4216;11;Restaurantes y hoteles;Nivel general y divisiones COICOP;201804;129,0431;1,2;16,4;Noreste
4217;11;Restaurantes y hoteles;Nivel general y divisiones COICOP;201804;130,6261;1,7;21,9;Noroeste
4218;11;Restaurantes y hoteles;Nivel general y divisiones COICOP;201804;135,7439;1,4;27,2;Cuyo
4219;11;Restaurantes y hoteles;Nivel general y divisiones COICOP;201804;136,3142;2,1;26,6;Patagonia
4305;11.1;Restaurantes y comidas fuera del hogar;Grupos;201804;134,1293;3;24,6;Pampeana
4306;11.1;Restaurantes y comidas fuera del hogar;Grupos;201804;128,9474;1,3;16,1;Noreste
4307;11.1;Restaurantes y comidas fuera del hogar;Grupos;201804;130,5738;1,8;21,8;Noroeste
4308;11.1;Restaurantes y comidas fuera del hogar;Grupos;201804;135,8732;1,5;27,1;Cuyo
4309;11.1;Restaurantes y comidas fuera del hogar;Grupos;201804;136,4213;2,2;26,5;Patagonia
