;Codigo;Descripcion_aperturas;Clasificador;Periodo;Indice_IPC;v_m_IPC;v_i_a_IPC;Region
14295;01.2.1;Café, té, yerba y cacao;Clase;202106;519,8012;4,7;50;GBA
14296;01.2.2;Aguas minerales, bebidas gaseosas y jugos;Clase;202106;379,8526;2,8;28,1;GBA
14355;11;Restaurantes y hoteles;Nivel general y divisiones COICOP;202107;461,9311;3,9;52,2;Pampeana
14356;11;Restaurantes y hoteles;Nivel general y divisiones COICOP;202107;459,7998;4,5;52;Noreste
14357;11;Restaurantes y hoteles;Nivel general y divisiones COICOP;202107;483,5022;4,5;54,4;Noroeste
14358;11;Restaurantes y hoteles;Nivel general y divisiones COICOP;202107;513,2083;4,4;61,1;Cuyo
14359;11;Restaurantes y hoteles;Nivel general y divisiones COICOP;202107;423,5161;4,9;46,4;Patagonia
14445;11.1;Restaurantes y comidas fuera del hogar;Grupos;202107;462,878;3,3;52,5;Pampeana
14446;11.1;Restaurantes y comidas fuera del hogar;Grupos;202107;460,417;4,1;52,3;Noreste
14447;11.1;Restaurantes y comidas fuera del hogar;Grupos;202107;484,5501;4,2;54,7;Noroeste
14448;11.1;Restaurantes y comidas fuera del hogar;Grupos;202107;517,1355;3,6;61,9;Cuyo
14449;11.1;Restaurantes y comidas fuera del hogar;Grupos;202107;423,1812;4,3;46,5;Patagonia
14485;01.1.8;Azúcar, dulces, chocolate, golosinas, etc.;Clase;202107;496,0517;3,1;33,4;Pampeana
14486;01.1.8;Azúcar, dulces, chocolate, golosinas, etc.;Clase;202107;508,0319;5,4;30;Noreste
14487;01.1.8;Azúcar, dulces, chocolate, golosinas, etc.;Clase;202107;509,7048;2,2;31,1;Noroeste
14488;01.1.8;Azúcar, dulces, chocolate, golosinas, etc.;Clase;202107;495,8835;3;34,2;Cuyo
14489;01.1.8;Azúcar, dulces, chocolate, golosinas, etc.;Clase;202107;492,5827;4,8;41;Patagonia
14490;01.2.1;Café, té, yerba y cacao;Clase;202107;595,5197;5,8;55,5;Pampeana
14491;01.2.1;Café, té, yerba y cacao;Clase;202107;655,9479;2,6;61,1;Noreste
14492;01.2.1;Café, té, yerba y cacao;Clase;202107;564,4051;5,8;52;Noroeste
14493;01.2.1;Café, té, yerba y cacao;Clase;202107;549,9429;9;51,1;Cuyo
14494;01.2.1;Café, té, yerba y cacao;Clase;202107;593,3315;4,3;57,4;Patagonia
14495;01.2.2;Aguas minerales, bebidas gaseosas y jugos;Clase;202107;456,4403;2,5;38;Pampeana
14496;01.2.2;Aguas minerales, bebidas gaseosas y jugos;Clase;202107;453,7539;1,9;41,9;Noreste
14497;01.2.2;Aguas minerales, bebidas gaseosas y jugos;Clase;202107;435,4697;2,8;37,1;Noroeste
14498;01.2.2;Aguas minerales, bebidas gaseosas y jugos;Clase;202107;468,9127;2,2;41,1;Cuyo
14499;01.2.2;Aguas minerales, bebidas gaseosas y jugos;Clase;202107;466,9198;4,2;37,8;Patagonia
14526;11;Restaurantes y hoteles;Nivel general y divisiones COICOP;202107;460,7445;5,5;56,1;GBA
14546;11.1;Restaurantes y comidas fuera del hogar;Grupos;202107;462,1478;4,7;56,7;GBA
14554;01.1.8;Azúcar, dulces, chocolate, golosinas, etc.;Clase;202107;444,836;4,8;30;GBA
14555;01.2.1;Café, té, yerba y cacao;Clase;202107;551,5503;6,1;54,1;GBA
14556;01.2.2;Aguas minerales, bebidas gaseosas y jugos;Clase;202107;398,581;4,9;31,9;GBA
14615;11;Restaurantes y hoteles;Nivel general y divisiones COICOP;202108;481,1851;4,2;54,8;Pampeana
14616;11;Restaurantes y hoteles;Nivel general y divisiones COICOP;202108;468,962;2;52,7;Noreste
14617;11;Restaurantes y hoteles;Nivel general y divisiones COICOP;202108;499,7627;3,4;56,7;Noroeste
14618;11;Restaurantes y hoteles;Nivel general y divisiones COICOP;202108;524,3915;2,2;62,3;Cuyo
14619;11;Restaurantes y hoteles;Nivel general y divisiones COICOP;202108;439,4146;3,8;49,3;Patagonia
14705;11.1;Restaurantes y comidas fuera del hogar;Grupos;202108;484,3671;4,6;55,8;Pampeana
14706;11.1;Restaurantes y comidas fuera del hogar;Grupos;202108;470,9174;2,3;53,4;Noreste
14707;11.1;Restaurantes y comidas fuera del hogar;Grupos;202108;502,1542;3,6;57,4;Noroeste
14708;11.1;Restaurantes y comidas fuera del hogar;Grupos;202108;531,2273;2,7;64,1;Cuyo
14709;11.1;Restaurantes y comidas fuera del hogar;Grupos;202108;441,2176;4,3;50,1;Patagonia
14745;01.1.8;Azúcar, dulces, chocolate, golosinas, etc.;Clase;202108;514,9427;3,8;34,8;Pampeana
14746;01.1.8;Azúcar, dulces, chocolate, golosinas, etc.;Clase;202108;531,8058;4,7;31,7;Noreste
14747;01.1.8;Azúcar, dulces, chocolate, golosinas, etc.;Clase;202108;532,6518;4,5;33,6;Noroeste
14748;01.1.8;Azúcar, dulces, chocolate, golosinas, etc.;Clase;202108;513,2893;3,5;36,2;Cuyo
14749;01.1.8;Azúcar, dulces, chocolate, golosinas, etc.;Clase;202108;512,1938;4;40,6;Patagonia
14750;01.2.1;Café, té, yerba y cacao;Clase;202108;634,6419;6,6;60;Pampeana
14751;01.2.1;Café, té, yerba y cacao;Clase;202108;692,7389;5,6;63,7;Noreste
14752;01.2.1;Café, té, yerba y cacao;Clase;202108;603,7151;7;58,5;Noroeste
14753;01.2.1;Café, té, yerba y cacao;Clase;202108;593,6216;7,9;59;Cuyo
14754;01.2.1;Café, té, yerba y cacao;Clase;202108;633,2391;6,7;63,3;Patagonia
14755;01.2.2;Aguas minerales, bebidas gaseosas y jugos;Clase;202108;465,5568;2;36,7;Pampeana
14756;01.2.2;Aguas minerales, bebidas gaseosas y jugos;Clase;202108;460,3212;1,4;40,6;Noreste
14757;01.2.2;Aguas minerales, bebidas gaseosas y jugos;Clase;202108;446,5474;2,5;35,3;Noroeste
14758;01.2.2;Aguas minerales, bebidas gaseosas y jugos;Clase;202108;481,8449;2,8;39,7;Cuyo
14759;01.2.2;Aguas minerales, bebidas gaseosas y jugos;Clase;202108;479,0049;2,6;36,8;Patagonia
14786;11;Restaurantes y hoteles;Nivel general y divisiones COICOP;202108;470,135;2;56,9;GBA
14806;11.1;Restaurantes y comidas fuera del hogar;Grupos;202108;474,4869;2,7;58,5;GBA
14814;01.1.8;Azúcar, dulces, chocolate, golosinas, etc.;Clase;202108;464,3941;4,4;32,3;GBA
14815;01.2.1;Café, té, yerba y cacao;Clase;202108;583,8323;5,9;57;GBA
14816;01.2.2;Aguas minerales, bebidas gaseosas y jugos;Clase;202108;407,882;2,3;29,8;GBA
14875;11;Restaurantes y hoteles;Nivel general y divisiones COICOP;202109;500,1882;3,9;56,8;Pampeana
14876;11;Restaurantes y hoteles;Nivel general y divisiones COICOP;202109;485,3504;3,5;53,1;Noreste
14877;11;Restaurantes y hoteles;Nivel general y divisiones COICOP;202109;517,7003;3,6;62,1;Noroeste
14878;11;Restaurantes y hoteles;Nivel general y divisiones COICOP;202109;535,6698;2,2;63,4;Cuyo
14879;11;Restaurantes y hoteles;Nivel general y divisiones COICOP;202109;459,6378;4,6;55,3;Patagonia
14965;11.1;Restaurantes y comidas fuera del hogar;Grupos;202109;502,7453;3,8;57,6;Pampeana
14966;11.1;Restaurantes y comidas fuera del hogar;Grupos;202109;486,804;3,4;53,7;Noreste
14967;11.1;Restaurantes y comidas fuera del hogar;Grupos;202109;519,6763;3,5;62,7;Noroeste
14968;11.1;Restaurantes y comidas fuera del hogar;Grupos;202109;541,2006;1,9;64,9;Cuyo
14969;11.1;Restaurantes y comidas fuera del hogar;Grupos;202109;460,8524;4,5;56,1;Patagonia
15005;01.1.8;Azúcar, dulces, chocolate, golosinas, etc.;Clase;202109;535,8817;4,1;38,4;Pampeana
15006;01.1.8;Azúcar, dulces, chocolate, golosinas, etc.;Clase;202109;562,0958;5,7;39,6;Noreste
15007;01.1.8;Azúcar, dulces, chocolate, golosinas, etc.;Clase;202109;554,843;4,2;37,2;Noroeste
15008;01.1.8;Azúcar, dulces, chocolate, golosinas, etc.;Clase;202109;530,8958;3,4;39,3;Cuyo
15009;01.1.8;Azúcar, dulces, chocolate, golosinas, etc.;Clase;202109;534,7401;4,4;45,7;Patagonia
15010;01.2.1;Café, té, yerba y cacao;Clase;202109;667,378;5,2;66,1;Pampeana
15011;01.2.1;Café, té, yerba y cacao;Clase;202109;716,2884;3,4;65,1;Noreste
15012;01.2.1;Café, té, yerba y cacao;Clase;202109;635,0935;5,2;64,2;Noroeste
15013;01.2.1;Café, té, yerba y cacao;Clase;202109;626,9746;5,6;68,6;Cuyo
15014;01.2.1;Café, té, yerba y cacao;Clase;202109;668,1464;5,5;70,9;Patagonia
15015;01.2.2;Aguas minerales, bebidas gaseosas y jugos;Clase;202109;478,4686;2,8;39,2;Pampeana
15016;01.2.2;Aguas minerales, bebidas gaseosas y jugos;Clase;202109;475,6916;3,3;43,3;Noreste
15017;01.2.2;Aguas minerales, bebidas gaseosas y jugos;Clase;202109;466,9224;4,6;40,1;Noroeste
15018;01.2.2;Aguas minerales, bebidas gaseosas y jugos;Clase;202109;496,8892;3,1;42,2;Cuyo
15019;01.2.2;Aguas minerales, bebidas gaseosas y jugos;Clase;202109;496,1755;3,6;39;Patagonia
15046;11;Restaurantes y hoteles;Nivel general y divisiones COICOP;202109;491,3744;4,5;61,9;GBA
15066;11.1;Restaurantes y comidas fuera del hogar;Grupos;202109;494,8751;4,3;63,4;GBA
15074;01.1.8;Azúcar, dulces, chocolate, golosinas, etc.;Clase;202109;488,8512;5,3;37,5;GBA
15075;01.2.1;Café, té, yerba y cacao;Clase;202109;601,8815;3,1;62,3;GBA
15076;01.2.2;Aguas minerales, bebidas gaseosas y jugos;Clase;202109;418,1107;2,5;34,5;GBA
15135;11;Restaurantes y hoteles;Nivel general y divisiones COICOP;202110;523,0063;4,6;58,3;Pampeana
15136;11;Restaurantes y hoteles;Nivel general y divisiones COICOP;202110;508,8949;4,9;57,9;Noreste
15137;11;Restaurantes y hoteles;Nivel general y divisiones COICOP;202110;534,297;3,2;60,5;Noroeste
15138;11;Restaurantes y hoteles;Nivel general y divisiones COICOP;202110;552,694;3,2;62,2;Cuyo
15139;11;Restaurantes y hoteles;Nivel general y divisiones COICOP;202110;474,9564;3,3;57,1;Patagonia
15225;11.1;Restaurantes y comidas fuera del hogar;Grupos;202110;526,4754;4,7;59,4;Pampeana
15226;11.1;Restaurantes y comidas fuera del hogar;Grupos;202110;511,0083;5;58,7;Noreste
15227;11.1;Restaurantes y comidas fuera del hogar;Grupos;202110;536,7164;3,3;61,2;Noroeste
15228;11.1;Restaurantes y comidas fuera del hogar;Grupos;202110;559,2883;3,3;63,9;Cuyo
15229;11.1;Restaurantes y comidas fuera del hogar;Grupos;202110;476,8378;3,5;58,2;Patagonia
15265;01.1.8;Azúcar, dulces, chocolate, golosinas, etc.;Clase;202110;559,2417;4,4;41,9;Pampeana
15266;01.1.8;Azúcar, dulces, chocolate, golosinas, etc.;Clase;202110;583,2624;3,8;43,7;Noreste
15267;01.1.8;Azúcar, dulces, chocolate, golosinas, etc.;Clase;202110;574,8015;3,6;40,7;Noroeste
15268;01.1.8;Azúcar, dulces, chocolate, golosinas, etc.;Clase;202110;555,2715;4,6;42,1;Cuyo
15269;01.1.8;Azúcar, dulces, chocolate, golosinas, etc.;Clase;202110;548,6746;2,6;48,2;Patagonia
15270;01.2.1;Café, té, yerba y cacao;Clase;202110;695,0937;4,2;68,2;Pampeana
15271;01.2.1;Café, té, yerba y cacao;Clase;202110;755,6543;5,5;68,8;Noreste
15272;01.2.1;Café, té, yerba y cacao;Clase;202110;660,912;4,1;64,5;Noroeste
15273;01.2.1;Café, té, yerba y cacao;Clase;202110;651,5652;3,9;66,7;Cuyo
15274;01.2.1;Café, té, yerba y cacao;Clase;202110;689,614;3,2;70,1;Patagonia
15275;01.2.2;Aguas minerales, bebidas gaseosas y jugos;Clase;202110;496,3623;3,7;40;Pampeana
15276;01.2.2;Aguas minerales, bebidas gaseosas y jugos;Clase;202110;487,6683;2,5;41;Noreste
15277;01.2.2;Aguas minerales, bebidas gaseosas y jugos;Clase;202110;492,2105;5,4;45,4;Noroeste
15278;01.2.2;Aguas minerales, bebidas gaseosas y jugos;Clase;202110;509,5011;2,5;41;Cuyo
15279;01.2.2;Aguas minerales, bebidas gaseosas y jugos;Clase;202110;507,0135;2,2;38,3;Patagonia
15306;11;Restaurantes y hoteles;Nivel general y divisiones COICOP;202110;511,343;4,1;63;GBA
15326;11.1;Restaurantes y comidas fuera del hogar;Grupos;202110;516,1073;4,3;65;GBA
15334;01.1.8;Azúcar, dulces, chocolate, golosinas, etc.;Clase;202110;507,3318;3,8;41;GBA
15335;01.2.1;Café, té, yerba y cacao;Clase;202110;625,2494;3,9;63,5;GBA
15336;01.2.2;Aguas minerales, bebidas gaseosas y jugos;Clase;202110;432,1491;3,4;34,5;GBA
15395;11;Restaurantes y hoteles;Nivel general y divisiones COICOP;202111;546,1543;4,4;60,4;Pampeana
15396;11;Restaurantes y hoteles;Nivel general y divisiones COICOP;202111;538,4972;5,8;61,6;Noreste
15397;11;Restaurantes y hoteles;Nivel general y divisiones COICOP;202111;552,5696;3,4;60,3;Noroeste
15398;11;Restaurantes y hoteles;Nivel general y divisiones COICOP;202111;575,5834;4,1;64,9;Cuyo
15399;11;Restaurantes y hoteles;Nivel general y divisiones COICOP;202111;484,7825;2,1;56,9;Patagonia
15485;11.1;Restaurantes y comidas fuera del hogar;Grupos;202111;547,7631;4;60,9;Pampeana
15486;11.1;Restaurantes y comidas fuera del hogar;Grupos;202111;539,4512;5,6;62;Noreste
15487;11.1;Restaurantes y comidas fuera del hogar;Grupos;202111;553,7163;3,2;60,6;Noroeste
15488;11.1;Restaurantes y comidas fuera del hogar;Grupos;202111;579,4132;3,6;65,8;Cuyo
15489;11.1;Restaurantes y comidas fuera del hogar;Grupos;202111;484,3441;1,6;57,2;Patagonia
15525;01.1.8;Azúcar, dulces, chocolate, golosinas, etc.;Clase;202111;574,8668;2,8;43,5;Pampeana
15526;01.1.8;Azúcar, dulces, chocolate, golosinas, etc.;Clase;202111;593,7623;1,8;43,3;Noreste
15527;01.1.8;Azúcar, dulces, chocolate, golosinas, etc.;Clase;202111;587,2494;2,2;41,1;Noroeste
15528;01.1.8;Azúcar, dulces, chocolate, golosinas, etc.;Clase;202111;570,1785;2,7;42,4;Cuyo
15529;01.1.8;Azúcar, dulces, chocolate, golosinas, etc.;Clase;202111;552,8143;0,8;44,6;Patagonia
15530;01.2.1;Café, té, yerba y cacao;Clase;202111;707,7388;1,8;64,3;Pampeana
15531;01.2.1;Café, té, yerba y cacao;Clase;202111;771,8218;2,1;63,3;Noreste
15532;01.2.1;Café, té, yerba y cacao;Clase;202111;671,4502;1,6;62,9;Noroeste
15533;01.2.1;Café, té, yerba y cacao;Clase;202111;662,7861;1,7;64,8;Cuyo
15534;01.2.1;Café, té, yerba y cacao;Clase;202111;701,9997;1,8;67,4;Patagonia
15535;01.2.2;Aguas minerales, bebidas gaseosas y jugos;Clase;202111;504,5946;1,7;38,2;Pampeana
15536;01.2.2;Aguas minerales, bebidas gaseosas y jugos;Clase;202111;498,8341;2,3;40,6;Noreste
15537;01.2.2;Aguas minerales, bebidas gaseosas y jugos;Clase;202111;497,3466;1;41,3;Noroeste
15538;01.2.2;Aguas minerales, bebidas gaseosas y jugos;Clase;202111;516,474;1,4;39,7;Cuyo
15539;01.2.2;Aguas minerales, bebidas gaseosas y jugos;Clase;202111;511,9014;1;37,1;Patagonia
15566;11;Restaurantes y hoteles;Nivel general y divisiones COICOP;202111;541,9437;6;67;GBA
15586;11.1;Restaurantes y comidas fuera del hogar;Grupos;202111;544,2148;5,4;68,1;GBA
15594;01.1.8;Azúcar, dulces, chocolate, golosinas, etc.;Clase;202111;529,0566;4,3;44,7;GBA
15595;01.2.1;Café, té, yerba y cacao;Clase;202111;638,1506;2,1;62,2;GBA
15596;01.2.2;Aguas minerales, bebidas gaseosas y jugos;Clase;202111;438,6529;1,5;34,5;GBA
15655;11;Restaurantes y hoteles;Nivel general y divisiones COICOP;202112;571,515;4,6;62;Pampeana
15656;11;Restaurantes y hoteles;Nivel general y divisiones COICOP;202112;588,6231;9,3;66,3;Noreste
15657;11;Restaurantes y hoteles;Nivel general y divisiones COICOP;202112;596,8212;8;67,3;Noroeste
15658;11;Restaurantes y hoteles;Nivel general y divisiones COICOP;202112;609,5021;5,9;65,9;Cuyo
15659;11;Restaurantes y hoteles;Nivel general y divisiones COICOP;202112;507,5991;4,7;60,2;Patagonia
15745;11.1;Restaurantes y comidas fuera del hogar;Grupos;202112;572,9864;4,6;62,7;Pampeana
15746;11.1;Restaurantes y comidas fuera del hogar;Grupos;202112;590,0615;9,4;66,9;Noreste
15747;11.1;Restaurantes y comidas fuera del hogar;Grupos;202112;598,2773;8;67,9;Noroeste
15748;11.1;Restaurantes y comidas fuera del hogar;Grupos;202112;613,5503;5,9;67;Cuyo
15749;11.1;Restaurantes y comidas fuera del hogar;Grupos;202112;506,9371;4,7;60,9;Patagonia
15785;01.1.8;Azúcar, dulces, chocolate, golosinas, etc.;Clase;202112;596,9363;3,8;46,5;Pampeana
15786;01.1.8;Azúcar, dulces, chocolate, golosinas, etc.;Clase;202112;612,8848;3,2;44,2;Noreste
15787;01.1.8;Azúcar, dulces, chocolate, golosinas, etc.;Clase;202112;605,8357;3,2;41,4;Noroeste
15788;01.1.8;Azúcar, dulces, chocolate, golosinas, etc.;Clase;202112;581,8344;2;42,8;Cuyo
15789;01.1.8;Azúcar, dulces, chocolate, golosinas, etc.;Clase;202112;574,1606;3,9;47,9;Patagonia
15790;01.2.1;Café, té, yerba y cacao;Clase;202112;726,0814;2,6;63,7;Pampeana
15791;01.2.1;Café, té, yerba y cacao;Clase;202112;788,9523;2,2;60,1;Noreste
15792;01.2.1;Café, té, yerba y cacao;Clase;202112;690,043;2,8;63,3;Noroeste
15793;01.2.1;Café, té, yerba y cacao;Clase;202112;681,7969;2,9;68,4;Cuyo
15794;01.2.1;Café, té, yerba y cacao;Clase;202112;724,3054;3,2;66,6;Patagonia
15795;01.2.2;Aguas minerales, bebidas gaseosas y jugos;Clase;202112;521,7399;3,4;38,8;Pampeana
15796;01.2.2;Aguas minerales, bebidas gaseosas y jugos;Clase;202112;515,6885;3,4;38,5;Noreste
15797;01.2.2;Aguas minerales, bebidas gaseosas y jugos;Clase;202112;511,6947;2,9;39,1;Noroeste
15798;01.2.2;Aguas minerales, bebidas gaseosas y jugos;Clase;202112;530,9077;2,8;37,6;Cuyo
15799;01.2.2;Aguas minerales, bebidas gaseosas y jugos;Clase;202112;528,887;3,3;36,3;Patagonia
15826;11;Restaurantes y hoteles;Nivel general y divisiones COICOP;202112;575,9063;6,3;68,1;GBA
15846;11.1;Restaurantes y comidas fuera del hogar;Grupos;202112;578,408;6,3;69,5;GBA
15854;01.1.8;Azúcar, dulces, chocolate, golosinas, etc.;Clase;202112;549,2857;3,8;49,3;GBA
15855;01.2.1;Café, té, yerba y cacao;Clase;202112;650,4586;1,9;61,6;GBA
15856;01.2.2;Aguas minerales, bebidas gaseosas y jugos;Clase;202112;453,0706;3,3;38,7;GBA
15915;11;Restaurantes y hoteles;Nivel general y divisiones COICOP;202201;599,4918;4,9;62,5;Pampeana
15916;11;Restaurantes y hoteles;Nivel general y divisiones COICOP;202201;621,0082;5,5;67,7;Noreste
15917;11;Restaurantes y hoteles;Nivel general y divisiones COICOP;202201;629,0815;5,4;65;Noroeste
15918;11;Restaurantes y hoteles;Nivel general y divisiones COICOP;202201;662,6353;8,7;68,7;Cuyo
15919;11;Restaurantes y hoteles;Nivel general y divisiones COICOP;202201;538,7371;6,1;63,7;Patagonia
16005;11.1;Restaurantes y comidas fuera del hogar;Grupos;202201;592,8312;3,5;61,9;Pampeana
16006;11.1;Restaurantes y comidas fuera del hogar;Grupos;202201;616,8197;4,5;67,5;Noreste
16007;11.1;Restaurantes y comidas fuera del hogar;Grupos;202201;625,5107;4,6;64,7;Noroeste
16008;11.1;Restaurantes y comidas fuera del hogar;Grupos;202201;655,8939;6,9;68,3;Cuyo
16009;11.1;Restaurantes y comidas fuera del hogar;Grupos;202201;529,9936;4,5;63,1;Patagonia
16045;01.1.8;Azúcar, dulces, chocolate, golosinas, etc.;Clase;202201;619,9533;3,9;48,1;Pampeana
16046;01.1.8;Azúcar, dulces, chocolate, golosinas, etc.;Clase;202201;632,7066;3,2;46,7;Noreste
16047;01.1.8;Azúcar, dulces, chocolate, golosinas, etc.;Clase;202201;625,823;3,3;44,1;Noroeste
16048;01.1.8;Azúcar, dulces, chocolate, golosinas, etc.;Clase;202201;613,2301;5,4;48;Cuyo
16049;01.1.8;Azúcar, dulces, chocolate, golosinas, etc.;Clase;202201;599,8755;4,5;49,6;Patagonia
16050;01.2.1;Café, té, yerba y cacao;Clase;202201;752,4065;3,6;63;Pampeana
16051;01.2.1;Café, té, yerba y cacao;Clase;202201;807,5961;2,4;56;Noreste
16052;01.2.1;Café, té, yerba y cacao;Clase;202201;719,6108;4,3;65,7;Noroeste
16053;01.2.1;Café, té, yerba y cacao;Clase;202201;719,8376;5,6;73,7;Cuyo
16054;01.2.1;Café, té, yerba y cacao;Clase;202201;762,4985;5,3;71,1;Patagonia
16055;01.2.2;Aguas minerales, bebidas gaseosas y jugos;Clase;202201;539,9062;3,5;39,3;Pampeana
16056;01.2.2;Aguas minerales, bebidas gaseosas y jugos;Clase;202201;531,5918;3,1;41;Noreste
16057;01.2.2;Aguas minerales, bebidas gaseosas y jugos;Clase;202201;530,2832;3,6;41,1;Noroeste
16058;01.2.2;Aguas minerales, bebidas gaseosas y jugos;Clase;202201;547,8294;3,2;38;Cuyo
16059;01.2.2;Aguas minerales, bebidas gaseosas y jugos;Clase;202201;545,3983;3,1;37,5;Patagonia
16086;11;Restaurantes y hoteles;Nivel general y divisiones COICOP;202201;610,0734;5,9;68,3;GBA
16106;11.1;Restaurantes y comidas fuera del hogar;Grupos;202201;600,3177;3,8;67,8;GBA
16114;01.1.8;Azúcar, dulces, chocolate, golosinas, etc.;Clase;202201;571,6052;4,1;55,5;GBA
16115;01.2.1;Café, té, yerba y cacao;Clase;202201;672,1454;3,3;64,6;GBA
16116;01.2.2;Aguas minerales, bebidas gaseosas y jugos;Clase;202201;470,2396;3,8;40;GBA
16175;11;Restaurantes y hoteles;Nivel general y divisiones COICOP;202202;617,7078;3;59,1;Pampeana
16176;11;Restaurantes y hoteles;Nivel general y divisiones COICOP;202202;647,8593;4,3;65,4;Noreste
16177;11;Restaurantes y hoteles;Nivel general y divisiones COICOP;202202;669,8602;6,5;69;Noroeste
16178;11;Restaurantes y hoteles;Nivel general y divisiones COICOP;202202;702,949;6,1;70,4;Cuyo
16179;11;Restaurantes y hoteles;Nivel general y divisiones COICOP;202202;579,0863;7,5;67,1;Patagonia
16265;11.1;Restaurantes y comidas fuera del hogar;Grupos;202202;612,0818;3,2;58,3;Pampeana
16266;11.1;Restaurantes y comidas fuera del hogar;Grupos;202202;644,6025;4,5;65;Noreste
16267;11.1;Restaurantes y comidas fuera del hogar;Grupos;202202;667,4133;6,7;68,8;Noroeste
16268;11.1;Restaurantes y comidas fuera del hogar;Grupos;202202;698,8267;6,5;69,9;Cuyo
16269;11.1;Restaurantes y comidas fuera del hogar;Grupos;202202;572,1266;7,9;66,6;Patagonia
16305;01.1.8;Azúcar, dulces, chocolate, golosinas, etc.;Clase;202202;645,0754;4,1;50,3;Pampeana
16306;01.1.8;Azúcar, dulces, chocolate, golosinas, etc.;Clase;202202;663,8005;4,9;49,3;Noreste
16307;01.1.8;Azúcar, dulces, chocolate, golosinas, etc.;Clase;202202;658,1576;5,2;46,7;Noroeste
16308;01.1.8;Azúcar, dulces, chocolate, golosinas, etc.;Clase;202202;647,8177;5,6;49,8;Cuyo
16309;01.1.8;Azúcar, dulces, chocolate, golosinas, etc.;Clase;202202;616,2584;2,7;47,7;Patagonia
16310;01.2.1;Café, té, yerba y cacao;Clase;202202;773,261;2,8;60,4;Pampeana
16311;01.2.1;Café, té, yerba y cacao;Clase;202202;843,7631;4,5;55;Noreste
16312;01.2.1;Café, té, yerba y cacao;Clase;202202;744,0801;3,4;63,8;Noroeste
16313;01.2.1;Café, té, yerba y cacao;Clase;202202;752,2506;4,5;73,2;Cuyo
16314;01.2.1;Café, té, yerba y cacao;Clase;202202;791,4922;3,8;66,8;Patagonia
16315;01.2.2;Aguas minerales, bebidas gaseosas y jugos;Clase;202202;558,6677;3,5;39,2;Pampeana
16316;01.2.2;Aguas minerales, bebidas gaseosas y jugos;Clase;202202;559,884;5,3;44,1;Noreste
16317;01.2.2;Aguas minerales, bebidas gaseosas y jugos;Clase;202202;549,4797;3,6;42,6;Noroeste
16318;01.2.2;Aguas minerales, bebidas gaseosas y jugos;Clase;202202;570,7208;4,2;39,5;Cuyo
16319;01.2.2;Aguas minerales, bebidas gaseosas y jugos;Clase;202202;567,7765;4,1;37,2;Patagonia
16346;11;Restaurantes y hoteles;Nivel general y divisiones COICOP;202202;637,1043;4,4;66,2;GBA
16366;11.1;Restaurantes y comidas fuera del hogar;Grupos;202202;629,4027;4,8;65,3;GBA
16374;01.1.8;Azúcar, dulces, chocolate, golosinas, etc.;Clase;202202;591,465;3,5;55,6;GBA
16375;01.2.1;Café, té, yerba y cacao;Clase;202202;706,7539;5,1;64,1;GBA
16376;01.2.2;Aguas minerales, bebidas gaseosas y jugos;Clase;202202;488,304;3,8;41,1;GBA
16435;11;Restaurantes y hoteles;Nivel general y divisiones COICOP;202203;649,9686;5,2;62,4;Pampeana
16436;11;Restaurantes y hoteles;Nivel general y divisiones COICOP;202203;677,594;4,6;66,5;Noreste
16437;11;Restaurantes y hoteles;Nivel general y divisiones COICOP;202203;703,7338;5,1;70,2;Noroeste
16438;11;Restaurantes y hoteles;Nivel general y divisiones COICOP;202203;735,8994;4,7;71,5;Cuyo
16439;11;Restaurantes y hoteles;Nivel general y divisiones COICOP;202203;616,1143;6,4;69,6;Patagonia
16525;11.1;Restaurantes y comidas fuera del hogar;Grupos;202203;649,3805;6,1;61,9;Pampeana
16526;11.1;Restaurantes y comidas fuera del hogar;Grupos;202203;677,828;5,2;66,2;Noreste
16527;11.1;Restaurantes y comidas fuera del hogar;Grupos;202203;704,4906;5,6;70;Noroeste
16528;11.1;Restaurantes y comidas fuera del hogar;Grupos;202203;739,2634;5,8;71,1;Cuyo
16529;11.1;Restaurantes y comidas fuera del hogar;Grupos;202203;614,3868;7,4;69,3;Patagonia
16565;01.1.8;Azúcar, dulces, chocolate, golosinas, etc.;Clase;202203;688,6741;6,8;55,6;Pampeana
16566;01.1.8;Azúcar, dulces, chocolate, golosinas, etc.;Clase;202203;709,2734;6,9;58,8;Noreste
16567;01.1.8;Azúcar, dulces, chocolate, golosinas, etc.;Clase;202203;704,2057;7;53,3;Noroeste
16568;01.1.8;Azúcar, dulces, chocolate, golosinas, etc.;Clase;202203;700,2852;8,1;57,7;Cuyo
16569;01.1.8;Azúcar, dulces, chocolate, golosinas, etc.;Clase;202203;666,5674;8,2;55,6;Patagonia
16570;01.2.1;Café, té, yerba y cacao;Clase;202203;806,7721;4,3;61,2;Pampeana
16571;01.2.1;Café, té, yerba y cacao;Clase;202203;871,3179;3,3;56,6;Noreste
16572;01.2.1;Café, té, yerba y cacao;Clase;202203;779,8331;4,8;66,1;Noroeste
16573;01.2.1;Café, té, yerba y cacao;Clase;202203;796,204;5,8;76,7;Cuyo
16574;01.2.1;Café, té, yerba y cacao;Clase;202203;823,0106;4;65,7;Patagonia
16575;01.2.2;Aguas minerales, bebidas gaseosas y jugos;Clase;202203;582,1722;4,2;41,4;Pampeana
